Name,Latitude,Longitude,Description,Geocodio Accuracy Score,Geocodio Accuracy Type,Geocodio Address Line 1,Geocodio Address Line 2,Geocodio Address Line 3,Geocodio House Number,Geocodio Street,Geocodio Unit Type,Geocodio Unit Number,Geocodio City,Geocodio State,Geocodio County,Geocodio Postal Code,Geocodio Country,Geocodio Source,Geocodio Stable Address Key,Geocodio Match Type
Harry Spooner,40.76922,-73.422008,WOT16484032,1,rooftop,525 Broadhollow Rd,Ste 100,"Melville, NY 11747",525,Broadhollow Rd,Ste,100,Melville,NY,Suffolk County,11747,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",gcod_usnh9kecmypzeyq2trltu6agpwkda-khmvmgcv9zdj6,building_centroid
Nixon Torres,40.598997,-73.974364,WOT16481875,1,rooftop,294 Ave T,,"Brooklyn, NY 11223",294,Ave T,,,Brooklyn,NY,Kings County,11223,US,City of New York,gcod_usnd5qtscq2trnj94ryfdq763j7b7,building_centroid
Amiel Tines,40.754781,-73.587679,WOT16482647,1,rooftop,162 Post Ave,Unit A,"Westbury, NY 11590",162,Post Ave,Unit,A,Westbury,NY,Nassau County,11590,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",gcod_usndmkryddczphgfmd4rslhpgykl3-nr25cspzasamf,building_centroid
Harry Spooner,40.82679,-73.234574,WOT16483977,1,rooftop,725 Veterans Memorial Hwy,Bldg 77,"Smithtown, NY 11787",725,Veterans Memorial Hwy,Bldg,77,Smithtown,NY,Suffolk County,11787,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",gcod_usnbacs2jpug7em652u5rncx7aryd-nem6q4msdfrfh,unit
Harry Spooner,40.757196,-72.938956,WOT16479615,1,rooftop,7 Bellport Ln,,"Bellport, NY 11713",7,Bellport Ln,,,Bellport,NY,Suffolk County,11713,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",gcod_usnb3fwu4lk7usl8dddqm3g9zad5a,building_centroid
Harry Spooner,40.913317,-73.124864,WOT16479634,1,place,,,"Stony Brook, NY 11794",,,,,Stony Brook,NY,Suffolk County,11794,US,TIGER/Line® dataset from the US Census Bureau,,
Amiel Tines,40.817055,-73.550354,WOT16477617,1,rooftop,131 Brookville Rd,,"Glen Head, NY 11545",131,Brookville Rd,,,Glen Head,NY,Nassau County,11545,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",gcod_usn3grgz9m9jy6ucxcczpa9ya63vh,building_centroid
Amiel Tines,40.676041,-73.443503,WOT16483598,1,rooftop,5214 Sunrise Hwy,,"Massapequa Park, NY 11762",5214,Sunrise Hwy,,,Massapequa Park,NY,Nassau County,11762,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",gcod_usn5arbptlre3f49syvqw4vjjqyvf,building_centroid
Harry Spooner,40.917258,-73.118122,WOT16483668,1,rooftop,100 Circle Rd,Bldg ROOM,"Stony Brook, NY 11790",100,Circle Rd,Bldg,ROOM,Stony Brook,NY,Suffolk County,11790,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",gcod_usngg3ej49rb68m8l4y8vrrc92ac2-g6mpqh7t77pn8,building_centroid
Amiel Tines,40.7232,-73.543666,WOT16483433,0.98,street_center,Bush St,,"East Meadow, NY 11554",,Bush St,,,East Meadow,NY,Nassau County,11554,US,TIGER/Line® dataset from the US Census Bureau,gcod_uss6m9xm6ghk2fge,
Nixon Torres,40.644837,-74.217687,WOT16479602,1,rooftop,763 Allen St,,"Elizabeth, NJ 07202",763,Allen St,,,Elizabeth,NJ,Union County,07202,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",gcod_usnbn8d2m3uwmwm22r34kl4ysne8c,
Nixon Torres,40.672588,-73.93726,WOT16482894,1,rooftop,1224 Park Pl,Fl 450,"Brooklyn, NY 11213",1224,Park Pl,Fl,450,Brooklyn,NY,Kings County,11213,US,City of New York,gcod_usnu7c8bkj42eqw7vcnlw99qec6w9-umcw3w3cfaf8h,building_centroid
Amiel Tines,40.7232,-73.543666,WOT16483464,0.98,street_center,Bush St,,"East Meadow, NY 11554",,Bush St,,,East Meadow,NY,Nassau County,11554,US,TIGER/Line® dataset from the US Census Bureau,gcod_uss6m9xm6ghk2fge,
Amiel Tines,40.72722,-73.609886,WOT16479750,1,rooftop,605 Locust St,,"Garden City, NY 11530",605,Locust St,,,Garden City,NY,Nassau County,11530,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",gcod_usn3frdvcshkzhfb4fnwlawq9cp3a,building_centroid
Harry Spooner,40.878365,-73.156303,WOT16483347,1,rooftop,325 Lake Ave,,"Saint James, NY 11780",325,Lake Ave,,,Saint James,NY,Suffolk County,11780,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)",gcod_usnht9dzhjsu3r4dyy7a62tv69gh2,building_centroid
Nixon Torres,40.691243,-74.296392,WOT16482174,1,rooftop,2391 US-22,,"Union, NJ 07083",2391,US-22,,,Union,NJ,Union County,07083,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)",gcod_usnrntn727yped68gxuuktsjajn3g,
